pais_iso,pais,indicador_code,indicador,anio,valor
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2013,14.72
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2012,14.29
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2011,16.76
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2010,16.04
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2009,14.5
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2008,18.34
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2007,18.28
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2006,17.41
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2005,17.31
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2004,16.85
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2003,14.71
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2002,13.37
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2001,10.27
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2000,11.64
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1999,11.56
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1998,12.93
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1997,12.78
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1996,11.08
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1995,10.09
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1994,10.6
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1993,9.31
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1992,8.13
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1991,6.08
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1990,4.63
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1989,6.58
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1988,6.21
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1987,7.58
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1986,6.32
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),1985,6.27
